rooms_num_square,type_offer,price_period,views,likes,address,apartment_complex,floors,furniture,series,building_type_year,added_ago,condition,link
"1-комн. кв., 55 м2",от агента,3 500 сом/сутки,785,3,"Бишкек, Академия Наук",,7 этаж из 10,,элитка,кирпичный,Добавлено 5 месяцев назад,евроремонт,https://www.house.kg/details/637133264f43aa15646c2-52503894
"2-комн. кв., 55 м2",от агента,4 000 сом/сутки,1674,4,"Бишкек, КНУ",,3 этаж из 10,,элитка,кирпичный,Добавлено 1 год назад,евроремонт,https://www.house.kg/details/246491963c3ceb1ba5854-48278624
"3-комн. кв., 135 м2",от агента,95 440 сом/мес.,441,2,"Бишкек, Сквер Тоголок Молдо, Исанова 33/Московская",Ул. Исанова 33,6 этаж из 15,полностью меблирована,элитка,"монолитный, 2017 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/269813665807d0d5f28b2-08946284
"4-комн. кв., 200 м2",от агента,147 498 сом/мес.,1394,,"Бишкек, Золотой квадрат, Эркиндик/Московская",,6 этаж из 8,полностью меблирована,элитка,"кирпичный, 2013 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/2651714657b5edaeb6c10-58915167
"2-комн. кв., 88 м2",от агента,60 735 сом/мес.,231,,"Бишкек, Золотой квадрат, Боконбаева 103/бульв. Эркиндик",Триумф Стиль,8 этаж из 12,полностью меблирована,элитка,"монолитный, 2017 г.",Добавлено 5 дней назад,евроремонт,https://www.house.kg/details/860851265c1ff39ee6475-96104760
"1-комн. кв., 45 м2",от агента,3 500 сом/сутки,4194,1,"Бишкек, Московская - Уметалиева",,9 этаж из 12,полностью меблирована,элитка,кирпичный,Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/9060179659a6540092f81-86224977
"3-комн. кв., 135 м2",от агента,95 440 сом/мес.,1303,,"Бишкек, Сквер Тоголок Молдо, Московская 147",Московская 147,7 этаж из 9,полностью меблирована,элитка,"монолитный, 2011 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/1098260657b5b696f0fd1-64752203
"3-комн. кв., 85 м2",от агента,43 382 сом/мес.,1730,,"с. Сары-Ой, Сары-Ой, ул. Нурдоолот ата 90а",ЖК Центр Отдыха Радуга,1 этаж из 5,полностью меблирована,элитка,"монолитный, 2020 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/86509366579eb4a84d2c9-13476583
"2-комн. кв., 60 м2",от агента,4 000 сом/сутки,3849,6,"Бишкек, Золотой квадрат",,5 этаж из 10,полностью меблирована,элитка,кирпичный,Добавлено 4 года назад,евроремонт,https://www.house.kg/details/45739325e944f14008273-91844321
"2-комн. кв., 75 м2",от агента,86 764 сом/мес.,312,,"Бишкек, Бишкек-Парк",,6 этаж из 10,полностью меблирована,элитка,кирпичный,Добавлено 20 дней назад,евроремонт,https://www.house.kg/details/372424965ae3a4916cf87-77202721
"2-комн. кв., 100 м2",от агента,138 822 сом/мес.,426,,"Бишкек, Магистраль, Токомбаева, за парком ""Асанбай""",Французский квартал,3 этаж из 8,полностью меблирована,элитка,"монолитный, 2020 г.",Добавлено 26 дней назад,евроремонт,https://www.house.kg/details/455424165a6dbf510b802-05470207
"1-комн. кв., 40 м2",от агента,3 000 сом/сутки,4046,11,Бишкек,,6 этаж из 12,полностью меблирована,элитка,кирпичный,Добавлено 4 года назад,евроремонт,https://www.house.kg/details/72155025e932367cec3a7-70746709
"1-комн. кв., 40 м2",от агента,4 000 сом/сутки,4411,1,Бишкек,,7 этаж из 9,полностью меблирована,элитка,кирпичный,Добавлено 4 года назад,евроремонт,https://www.house.kg/details/11292535e932a6ca1d991-94342978
"2-комн. кв., 83 м2",от агента,56 396 сом,413,1,"Бишкек, Магистраль, Чынгыза Айтматова пр-т, 97",,8 этаж из 9,,индивид. планировка,"кирпичный, 2017 г.",Добавлено 13 дней назад,,https://www.house.kg/details/233411065b83d8a7fb9a4-09454923
"3-комн. кв., 105 м2",от агента,112 793 сом,382,,"Бишкек, Парк Панфилова/Спартак, Якова Логвиненко, 55",,14 этаж из 16,,индивид. планировка,"кирпичный, 2018 г.",Добавлено 13 дней назад,,https://www.house.kg/details/463712665b83d7b3a5406-87311832
"2-комн. кв., 55 м2",от агента,4 000 сом/сутки,1140,7,"Бишкек, КНУ",,3 этаж из 12,полностью меблирована,элитка,"кирпичный, 2020 г.",Добавлено 7 месяцев назад,евроремонт,https://www.house.kg/details/250124164b5066b7c5689-15829582
"2-комн. кв., 75 м2",от агента,69 411 сом/мес.,715,,"Бишкек, Карла Маркса, Юнусалиева 141","Жилой дом ""Астория""",6 этаж из 12,полностью меблирована,элитка,"монолитный, 2020 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/1079143657c536c0014b7-38004369
"2-комн. кв., 86 м2",от агента,73 749 сом,366,,"Бишкек, Военторг, Тоголок Молдо, 22",,3 этаж из 10,,индивид. планировка,"кирпичный, 2020 г.",Добавлено 13 дней назад,,https://www.house.kg/details/523629865b83d6d86cf77-49025172
"1-комн. кв., 50 м2",от агента,3 500 сом/сутки,3765,,"Бишкек, Академия Наук",,7 этаж из 13,полностью меблирована,элитка,кирпичный,Добавлено 1 месяц назад,под самоотделку (псо),https://www.house.kg/details/393950659a6916412007-10200524
"2-комн. кв., 67 м2",от агента,48 588 сом,397,,"Бишкек, Джал-29 м-н, Джал-29 мкр, 14",,14 этаж из 14,,индивид. планировка,"монолитный, 2018 г.",Добавлено 13 дней назад,,https://www.house.kg/details/378095865b83d5f72b833-46896330
"2-комн. кв., 80 м2",от агента,86 764 сом/мес.,1486,1,"Бишкек, Военторг, Исанова 45",Leonardo,8 этаж из 12,полностью меблирована,элитка,"монолитный, 2017 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/97150626579ea04875081-94175327
"2-комн. кв., 88 м2",от агента,173 527 сом/мес.,258,1,"Бишкек, Золотой квадрат, Орозбекова/Московская",,8 этаж из 11,полностью меблирована,элитка,"кирпичный, 2021 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/23485896579e57dadffe8-49670511
"4-комн. кв., 150 м2",от агента,130 145 сом/мес.,1005,,"Бишкек, Сквер Тоголок Молдо, Московская 147/Исанова",Московская 147,5 этаж из 9,полностью меблирована,элитка,"монолитный, 2011 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/54032436579ad2dae7f81-52424524
"2-комн. кв., 80 м2",от агента,86 764 сом/мес.,333,1,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",Avangard City,7 этаж из 14,полностью меблирована,элитка,"монолитный, 2022 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/38134416579e0c99aae99-07391440
"2-комн. кв., 60 м2",от агента,4 500 сом/сутки,3723,4,Бишкек,,7 этаж из 11,полностью меблирована,элитка,кирпичный,Добавлено 4 года назад,евроремонт,https://www.house.kg/details/6695095e944e35040c34-44464556
"1-комн. кв., 52 м2",от агента,78 087 сом/мес.,1750,1,"Бишкек, Академия Наук",,7 этаж из 10,полностью меблирована,элитка,кирпичный,Добавлено 20 дней назад,евроремонт,https://www.house.kg/details/143143565ae557fecb240-08753936
"2-комн. кв., 80 м2",от агента,78 087 сом/мес.,846,3,"Бишкек, Ак Кеме, Мира/Магистраль",,11 этаж из 12,полностью меблирована,элитка,"панельный, 2021 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/93520676579e75d720c07-71609550
"1-комн. кв., 66 м2",от агента,3 500 сом/сутки,4046,2,"Бишкек, Академия Наук",,5 этаж из 11,полностью меблирована,элитка,кирпичный,Добавлено 4 года назад,евроремонт,https://www.house.kg/details/24732725e9378314c1b28-49695291
"3-комн. кв., 75 м2",от агента,69 411 сом/мес.,2580,,"Бишкек, Карпинка, Фрунзе 300/3/Гоголя","Жилой комплекс ""Империал""",7 этаж из 17,полностью меблирована,элитка,"монолитный, 2019 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/9731337659521a09df8c1-10309001
"1-комн. кв., 40 м2",от агента,65 073 сом/мес.,1586,,"Бишкек, Магистраль, Байтик Баатыра/Южная Магистраль",Жилой дом “Флоренция”,5 этаж из 14,полностью меблирована,элитка,"монолитный, 2022 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/28868716598edcf569313-60447798
"3-комн. кв., 150 м2",от агента,112 793 сом/мес.,2366,,"Бишкек, Золотой квадрат, Раззакова 15/Боконбаева",,7 этаж из 11,полностью меблирована,элитка,"панельный, 2012 г.",Добавлено 28 дней назад,евроремонт,https://www.house.kg/details/398170765a3acc299d214-20183983
"3-комн. кв., 125 м2",от агента,130 145 сом/мес.,2610,,"Бишкек, Золотой квадрат, И. Раззакова 56/Токтогула",Classic,6 этаж из 9,полностью меблирована,элитка,"кирпичный, 2012 г.",Добавлено 28 дней назад,евроремонт,https://www.house.kg/details/306867665a3ad848fbef5-92724223
"1-комн. кв., 40 м2",от агента,3 500 сом/сутки,4200,5,Бишкек,,5 этаж из 9,полностью меблирована,элитка,кирпичный,Добавлено 4 года назад,евроремонт,https://www.house.kg/details/89606865e944cce238154-98918127
"3-комн. кв., 130 м2",от агента,130 145 сом/мес.,2027,1,"Бишкек, Военторг, Сыдыкова 184/Коенкозова","Жилой дом ""Арбат""",3 этаж из 14,полностью меблирована,элитка,"монолитный, 2021 г.",Добавлено 28 дней назад,евроремонт,https://www.house.kg/details/368500765a3abb6884479-95911285
"3-комн. кв., 72 м2",от собственника,52 058 сом/мес.,422,2,"Бишкек, ЖД вокзал, Тыныстанова 64/1/Боконбаева",,7 этаж из 7,полностью меблирована,индивид. планировка,"кирпичный, 1980 г.",Добавлено 2 месяца назад,хорошее,https://www.house.kg/details/48987206576dc36dcfa43-97809363
"2-комн. кв., 80 м2",от агента,390 436 сом/сутки,510,,"Бишкек, Академия Наук",,5 этаж из 10,,элитка,кирпичный,Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/705943465525d2f583c76-90944767
"4-комн. кв., 220 м2",от агента,199 556 сом/мес.,738,,"Бишкек, 8 м-н, Токомбаева 46/2",,10 этаж из 11,полностью меблирована,элитка,"кирпичный, 2016 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/5317123657c5277625a83-49894928
"2-комн. кв., 100 м2",от агента,69 411 сом/мес.,1184,,"Бишкек, Дордой Плаза, Ибраимова 115/Чуй",Асыл Таш,8 этаж из 12,полностью меблирована,элитка,"монолитный, 2017 г.",Добавлено 28 дней назад,евроремонт,https://www.house.kg/details/593826065a3afbf304e75-62415532
"3-комн. кв., 130 м2",от агента,130 145 сом/мес.,392,,"Бишкек, Карпинка, Фрунзе 300/3/Гоголя","Жилой комплекс ""Империал""",7 этаж из 17,полностью меблирована,элитка,"монолитный, 2019 г.",Добавлено 26 дней назад,евроремонт,https://www.house.kg/details/679327465a6d825de00f8-36164094
"2-комн. кв., 60 м2",от агента,3 500 сом/сутки,3925,2,"Бишкек, Военторг",,3 этаж из 7,полностью меблирована,элитка,кирпичный,Добавлено 4 года назад,евроремонт,https://www.house.kg/details/93769625e93779a104cc8-07535146
"2-комн. кв., 88 м2",от агента,86 764 сом/мес.,416,3,"Бишкек, Ак Кеме, Минжилкиева 117",Жилой комплекс «IHLAS Residence»,12 этаж из 13,полностью меблирована,элитка,"монолитный, 2019 г.",Добавлено 26 дней назад,евроремонт,https://www.house.kg/details/87610465a6d8beee87d0-76902745
"4-комн. кв., 140 м2",от агента,104 116 сом/мес.,379,,"Бишкек, Советская - Скрябина, Медерова/Советская",,10 этаж из 12,полностью меблирована,элитка,"монолитный, 2015 г.",Добавлено 26 дней назад,евроремонт,https://www.house.kg/details/872700865a6d9c3df8756-78380879
"3-комн. кв., 80 м2",от агента,65 000 сом/мес.,549,,"Бишкек, VEFA, Радищева 7",,6 этаж из 11,полностью меблирована,элитка,"монолитный, 2018 г.",Добавлено 25 дней назад,евроремонт,https://www.house.kg/details/759773465a7f5f4ab8ec0-13662374
"4-комн. кв., 150 м2",от агента,130 145 сом/мес.,649,,"Бишкек, Сквер Тоголок Молдо, Московская 147",Московская 147,5 этаж из 9,полностью меблирована,элитка,"монолитный, 2011 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/2924005657c5417593d70-14051537
"1-комн. кв., 45 м2",от агента,3 000 сом/сутки,1015,,"Бишкек, Военторг",,6 этаж из 12,,элитка,кирпичный,Добавлено 6 месяцев назад,евроремонт,https://www.house.kg/details/65474364ce3336866457-99754395
"2-комн. кв., 75 м2",от агента,69 411 сом/мес.,480,1,"Бишкек, Карпинка, Фрунзе 300/3/Гоголя","Жилой комплекс ""Империал""",11 этаж из 17,полностью меблирована,элитка,"монолитный, 2019 г.",Добавлено 26 дней назад,евроремонт,https://www.house.kg/details/223744565a6e0e150c8a7-14361091
"3-комн. кв., 135 м2",от агента,130 145 сом/мес.,2024,,"Бишкек, Военторг, Сыдыкова 184/Коенкозова","Жилой дом ""Арбат""",9 этаж из 12,полностью меблирована,элитка,"монолитный, 2021 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/79832976597ac7e8b83b6-29395682
"4-комн. кв., 160 м2",от агента,156 174 сом/мес.,1312,1,"Бишкек, 7 м-н, Юнусалиева",,7 этаж из 10,полностью меблирована,элитка,"панельный, 2009 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/9611182659c1783d34b99-77346267
"2-комн. кв., 75 м2",от агента,69 411 сом/мес.,853,,"Бишкек, Золотой квадрат, Орозбекова 19/Чокморова",Император,6 этаж из 13,полностью меблирована,элитка,"монолитный, 2017 г.",Добавлено 29 дней назад,евроремонт,https://www.house.kg/details/294341965a2415449bf62-70300477
"2-комн. кв., 45 м2",от агента,3 500 сом/сутки,3692,,Бишкек,,4 этаж из 12,полностью меблирована,элитка,кирпичный,Добавлено 4 года назад,евроремонт,https://www.house.kg/details/94567375e9461ab08d671-31212060
"3-комн. кв., 125 м2",от агента,104 116 сом/мес.,1444,3,"Бишкек, с. Орто-Сай, c. Орто-Сай, ул. Рысмендеева 7/1/Аалы Токомбаева",Клубный дом «Орто-сай»,4 этаж из 7,полностью меблирована,элитка,"монолитный, 2018 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/47420786579e809340dd0-41081626
"4-комн. кв., 160 м2",от агента,156 174 сом/мес.,1263,,"Бишкек, Золотой квадрат, Орозбекова/Московская",,4 этаж из 6,полностью меблирована,элитка,"кирпичный, 2014 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/4920185659c16f62db1a8-53618704
"3-комн. кв., 130 м2",от агента,173 527 сом/мес.,1064,,"Бишкек, Магистраль, Токомбаева, за парком ""Асанбай""",Французский квартал,4 этаж из 8,полностью меблирована,элитка,"монолитный, 2020 г.",Добавлено 19 дней назад,евроремонт,https://www.house.kg/details/212424665afcf11006133-94534960
"3-комн. кв., 127 м2",от агента,130 145 сом/мес.,1060,,"Бишкек, Магистраль, пр. Мира/Южная магистраль",Фрунзе,3 этаж из 11,полностью меблирована,элитка,"монолитный, 2017 г.",Добавлено 19 дней назад,евроремонт,https://www.house.kg/details/699826665afd531f30aa6-69939072
"4-комн. кв., 176 м2",от агента,216 909 сом/мес.,1040,,"Бишкек, ЖД вокзал, Чуйкова/Орозбекова","Жилой дом ""Гранвиль""",6 этаж из 14,полностью меблирована,элитка,"монолитный, 2020 г.",Добавлено 19 дней назад,евроремонт,https://www.house.kg/details/422063265afd753384974-08768803
"1-комн. кв., 40 м2",от агента,4 000 сом/сутки,5046,1,"Бишкек, Академия Наук",,4 этаж из 7,полностью меблирована,элитка,кирпичный,Добавлено 4 года назад,евроремонт,https://www.house.kg/details/26953865e94507d7b6bd1-76504823
"3-комн. кв., 89 м2",от агента,86 764 сом/мес.,1417,7,"Бишкек, 12 м-н, 12 мкр-н 63/3/Каралаева",ЖК «Алтын Казык»,5 этаж из 10,полностью меблирована,элитка,"монолитный, 2020 г.",Добавлено 8 месяцев назад,евроремонт,https://www.house.kg/details/7984192648b158d246d03-82646753
"3-комн. кв., 160 м2",от агента,130 145 сом/мес.,600,,"Бишкек, Золотой квадрат, Орозбекова 26/Московская",,2 этаж из 9,полностью меблирована,элитка,"монолитный, 2012 г.",Добавлено 19 дней назад,евроремонт,https://www.house.kg/details/564590065afe3009ca801-63753481
"3-комн. кв., 100 м2",от агента,104 116 сом/мес.,558,,"Бишкек, Бишкек-Парк, Токтогула/Исанова",Elite Residence,6 этаж из 16,полностью меблирована,элитка,"монолитный, 2018 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/8128545658324321a5535-87117068
"3-комн. кв., 130 м2",от агента,130 145 сом/мес.,217,,"Бишкек, Сквер Тоголок Молдо, Московская 147/Исанова",Московская 147,6 этаж из 9,полностью меблирована,элитка,"монолитный, 2011 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/3454372656830c179a176-97043663
"4-комн. кв., 250 м2",от агента,173 527 сом/мес.,558,1,"Бишкек, Советская - Скрябина, Медерова/Элебаева",,5 этаж из 9,полностью меблирована,элитка,"панельный, 2016 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/5164965658083bde19410-47495180
"4-комн. кв., 209 м2",от агента,130 145 сом/мес.,396,,"Бишкек, Сквер Тоголок Молдо, Московская 147/Исанова",Московская 147,9 этаж из 9,полностью меблирована,элитка,"монолитный, 2011 г.",Добавлено 2 месяца назад,хорошее,https://www.house.kg/details/109105265685af63b1b43-18543859
"1-комн. кв., 50 м2",от агента,3 500 сом/сутки,783,5,"Бишкек, Военторг",,5 этаж из 12,,элитка,кирпичный,Добавлено 5 месяцев назад,евроремонт,https://www.house.kg/details/98365616502b31c84f4a2-32972457
"4-комн. кв., 226 м2",от агента,156 174 сом/мес.,347,,"Бишкек, Золотой квадрат, Орозбекова 26/Московская",,7 этаж из 9,полностью меблирована,элитка,"кирпичный, 2009 г.",Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/609989065608d67866922-76442608
"2-комн. кв., 70 м2",от агента,4 500 сом/сутки,457,1,"Бишкек, Военторг",,7 этаж из 10,полностью меблирована,элитка,кирпичный,Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/8138722654f6eb69f1fe5-62300305
"4-комн. кв., 230 м2",от агента,156 174 сом/мес.,137,,"Бишкек, ЖД вокзал, Чуйкова 4/Раззакова",,9 этаж из 9,полностью меблирована,элитка,"кирпичный, 2009 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/2389952657d2aaf247ce6-02932379
"4-комн. кв., 165 м2",от агента,130 145 сом/мес.,1836,2,"Бишкек, Сквер Тоголок Молдо, Московская 147/Исакова",Московская 147,5 этаж из 9,полностью меблирована,элитка,"монолитный, 2011 г.",Добавлено 10 месяцев назад,евроремонт,https://www.house.kg/details/60567186444cdddd368a2-55186550
"4-комн. кв., 165 м2",от агента,130 145 сом/мес.,1837,2,"Бишкек, Сквер Тоголок Молдо, Московская 147/Исакова",Московская 147,5 этаж из 9,полностью меблирована,элитка,"монолитный, 2011 г.",Добавлено 10 месяцев назад,евроремонт,https://www.house.kg/details/60567186444cdddd368a2-55186550
"1-комн. кв., 45 м2",от собственника,2 500 сом/сутки,5163,16,"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",Жилой комплекс «Ботанический сад»,10 этаж из 12,полностью меблирована,элитка,"монолитный, 2019 г.",Добавлено 11 месяцев назад,евроремонт,https://www.house.kg/details/8144345641b938b5c6968-35642431
"3-комн. кв., 190 м2",от агента,138 822 сом/мес.,1708,,"Бишкек, Сквер Тоголок Молдо, Московская 147/Исанова",Московская 147,9 этаж из 9,полностью меблирована,элитка,монолитный,Добавлено 1 год назад,хорошее,https://www.house.kg/details/26501896343c8cc9dbca1-76765791
"1-комн. кв., 49 м2",от собственника,2 500 сом/сутки,6111,22,"Бишкек, Московская - Белинка, Табышалиева 11/Боконбаево",,5 этаж из 10,полностью меблирована,элитка,"кирпичный, 2014 г.",Добавлено 11 месяцев назад,евроремонт,https://www.house.kg/details/57244616419bf1a2cbfe9-88149447
"2-комн. кв., 78 м2",от агента,4 000 сом/сутки,867,2,"Бишкек, Военторг",,5 этаж из 10,,элитка,кирпичный,Добавлено 5 месяцев назад,евроремонт,https://www.house.kg/details/391611764f43f9c6c4379-35443447
"1-комн. кв., 45 м2",от собственника,3 000 сом/сутки,4940,12,"Бишкек, Золотой квадрат, Панфилова 153",,4 этаж из 10,полностью меблирована,элитка,"кирпичный, 2014 г.",Добавлено 11 месяцев назад,хорошее,https://www.house.kg/details/4359722641856b9572f18-56162318
"3-комн. кв., 120 м2",от агента,138 822 сом/мес.,1570,2,"Бишкек, Магистраль, Сухэ-Батора 23б/Токомбаева",Английский квартал,9 этаж из 14,полностью меблирована,элитка,"монолитный, 2019 г.",Добавлено 11 месяцев назад,евроремонт,https://www.house.kg/details/82268226402e0f0c22d82-91762667
"3-комн. кв., 110 м2",от агента,104 116 сом,829,,"Бишкек, Магистраль, Токомбаева, 27",,9 этаж из 9,,индивид. планировка,"кирпичный, 2012 г.",Добавлено 16 дней назад,,https://www.house.kg/details/915225865b44946ab1f56-06826192
"4-комн. кв., 260 м2",от агента,242 938 сом/мес.,1253,1,"Бишкек, Сквер Тоголок Молдо, Чуйкова 132а/Коенкозова",Чуйкова 132 «а»,6 этаж из 10,полностью меблирована,элитка,"монолитный, 2017 г.",Добавлено 6 месяцев назад,евроремонт,https://www.house.kg/details/464664164d8f3c2eb3106-14101139
"4-комн. кв., 170 м2",от агента,156 174 сом/мес.,1233,3,"Бишкек, Киргизия-2 м-н, Киргизия 2, ул. Манаса, 3 (напротив Этно-комплекса Манас айылы) 3/1/Чынгыз айтматова",VIP городок «Манас Айылы»,3 этаж из 3,частично меблирована,элитка,"кирпичный, 2017 г.",Добавлено 6 месяцев назад,евроремонт,https://www.house.kg/details/248569364d8f8f16831f6-99131980
"2-комн. кв., 86 м2",от агента,60 735 сом,869,,"Бишкек, Бишкек-Парк, Токтогула, 167",,13 этаж из 14,,индивид. планировка,"кирпичный, 2020 г.",Добавлено 16 дней назад,,https://www.house.kg/details/140459865b449234298e5-71533378
"3-комн. кв., 98 м2",от агента,104 116 сом,580,,"Бишкек, Саякбая Каралаева, 40",,2 этаж из 12,,индивид. планировка,"кирпичный, 2017 г.",Добавлено 16 дней назад,,https://www.house.kg/details/955140565b44900c4c484-66141885
"4-комн. кв., 200 м2",от агента,147 498 сом/мес.,1123,2,"Бишкек, Сквер Тоголок Молдо, Московская 147/Исанова",Московская 147,9 этаж из 9,полностью меблирована,элитка,"монолитный, 2011 г.",Добавлено 6 месяцев назад,хорошее,https://www.house.kg/details/314158564ec0e6bb42202-94908214
"2-комн. кв., 75 м2",от агента,60 735 сом,571,,"Бишкек, Советская - Скрябина, Байтик Баатыра, 7Б",,4 этаж из 10,,индивид. планировка,"монолитный, 2015 г.",Добавлено 16 дней назад,,https://www.house.kg/details/591399765b448ed373960-09743039
"2-комн. кв., 60 м2",от агента,69 411 сом,587,,"Бишкек, Золотой квадрат, Жоомарта Боконбаева, 101",,4 этаж из 12,,индивид. планировка,"кирпичный, 2022 г.",Добавлено 16 дней назад,,https://www.house.kg/details/147730565b448e3247df5-69845586
"4-комн. кв., 170 м2",от агента,347 054 сом/мес.,205,,"Бишкек, Магистраль, просп. Ч. Айтматова 299/3",Central Park,6 этаж из 8,полностью меблирована,элитка,"монолитный, 2022 г.",Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/814284765507a4ebd1f84-49909293
"3-комн. кв., 130 м2",от агента,130 145 сом/мес.,412,,"Бишкек, Сквер Тоголок Молдо, Московская 147/Исанова",Московская 147,6 этаж из 9,полностью меблирована,элитка,"монолитный, 2011 г.",Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/280557654b1b9e63e6e0-34310251
"3-комн. кв., 108 м2",от агента,69 411 сом,663,,"Бишкек, Вечерка, Юсупа Абдрахманова, 99",,6 этаж из 12,,индивид. планировка,"монолитный, 2019 г.",Добавлено 16 дней назад,,https://www.house.kg/details/571650465b448d5218114-40500972
"2-комн. кв., 96 м2",от агента,69 411 сом,589,,"Бишкек, ЖД вокзал, Раззакова, 2",,10 этаж из 10,,индивид. планировка,"кирпичный, 2014 г.",Добавлено 16 дней назад,,https://www.house.kg/details/981949365b448c9a38452-62473726
"3-комн. кв., 75 м2",от агента,60 735 сом/мес.,1171,4,"Бишкек, 12 м-н, 12 мкр-н",ЖК «Алтын Казык»,10 этаж из 10,полностью меблирована,элитка,"монолитный, 2020 г.",Добавлено 4 месяца назад,евроремонт,https://www.house.kg/details/2831821652fc6822a3e13-02025616
"3-комн. кв., 64 м2",от агента,56 396 сом/мес.,1603,6,"Бишкек, Золотой квадрат, Токтогула 35/Эркиндик",,3 этаж из 8,полностью меблирована,индивид. планировка,"кирпичный, 1996 г.",Добавлено 4 месяца назад,евроремонт,https://www.house.kg/details/7424213651bbd4ee68561-76966897
"2-комн. кв., 80 м2",от агента,78 087 сом/мес.,1516,,"Бишкек, Военторг, Сыдыкова/Коенкозова","Жилой дом ""Арбат""",3 этаж из 14,полностью меблирована,элитка,"монолитный, 2021 г.",Добавлено 6 месяцев назад,евроремонт,https://www.house.kg/details/306601164d92369d80703-42888032
"2-комн. кв., 90 м2",от агента,86 764 сом/мес.,2353,2,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",Park Avenue,9 этаж из 12,полностью меблирована,элитка,"монолитный, 2019 г.",Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/8649666647336c4bfb611-36681945
"1-комн. кв., 50 м2",от агента,3 000 сом/сутки,1080,7,"Бишкек, КНУ",,6 этаж из 10,,элитка,кирпичный,Добавлено 6 месяцев назад,евроремонт,https://www.house.kg/details/278076064d4f5a24d7211-86845025
"4-комн. кв., 165 м2",от агента,216 909 сом/мес.,1725,1,"Бишкек, Магистраль, просп. Ч. Айтматова 299/3",Central Park,8 этаж из 8,частично меблирована,элитка,"монолитный, 2022 г.",Добавлено 6 месяцев назад,евроремонт,https://www.house.kg/details/32980564d8f5fa0e34e0-30431169
"4-комн. кв., 165 м2",от агента,199 556 сом/мес.,1508,1,"Бишкек, Золотой квадрат, Чокморова 164/Эркиндик",,9 этаж из 11,полностью меблирована,элитка,"кирпичный, 2021 г.",Добавлено 6 месяцев назад,евроремонт,https://www.house.kg/details/933760164d9e6586c33f2-97774808
"4-комн. кв., 200 м2",от агента,260 291 сом/мес.,1337,2,"Бишкек, Каралаева (Набережная)",Южный Парк,5 этаж из 12,полностью меблирована,элитка,"монолитный, 2017 г.",Добавлено 5 месяцев назад,евроремонт,https://www.house.kg/details/278002664f88c64709775-10260105
"2-комн. кв., 60 м2",от агента,4 500 сом/сутки,433,,"Бишкек, Московская - Белинка",,4 этаж из 12,,элитка,кирпичный,Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/2779519654f6d86b221a4-51283783
"3-комн. кв., 140 м2",от агента,112 793 сом/мес.,1322,,"Бишкек, 7 м-н, Токомбаева 53/2",7 Небо,10 этаж из 12,полностью меблирована,элитка,"монолитный, 2015 г.",Добавлено 5 месяцев назад,евроремонт,https://www.house.kg/details/196339265009861e58800-03666755
"2-комн. кв., 70 м2",от агента,86 764 сом/мес.,1004,1,"Бишкек, Золотой квадрат, Бокомбаева 110/Эркиндик",ЖК Триумф,10 этаж из 12,полностью меблирована,элитка,"монолитный, 2019 г.",Добавлено 5 месяцев назад,евроремонт,https://www.house.kg/details/2749476514086e43abf0-87841480
